ID,Categoría,Tarea,Puntos,Puntos Obtenidos,Evidencia GitHub,Notas
PAR-008,Participación/Aprendizaje,Subir tutorial breve (3–5 min),15,0,PENDIENTE DAVID,DAVID debe crear tutorial
EXT-001,Extras/Creatividad,Reel corto promocionando el proyecto,20,0,PENDIENTE DAVID,DAVID debe crear reel
EXT-002,Extras/Creatividad,Publicar en LinkedIn sobre su avance,10,0,PENDIENTE DAVID,DAVID debe crear posts LinkedIn
EXT-003,Extras/Creatividad,Post en Twitter/X con update técnico,10,0,PENDIENTE DAVID,DAVID debe crear posts Twitter
EXT-004,Extras/Creatividad,Merch o branding de equipo,15,15,https://github.com/DabtcAvila/starkpay-hackathon-2024/tree/main/StarkPayiOS/StarkPayiOS/Assets.xcassets/AppIcon.appiconset,Logo y branding StarkPay completo
EXT-005,Extras/Creatividad,Networking con otro equipo (evidencia),10,0,PENDIENTE DAVID,DAVID debe hacer networking
EXT-006,Extras/Creatividad,Conseguir mentor externo,20,0,PENDIENTE DAVID,DAVID debe conseguir mentor
EXT-007,Extras/Creatividad,Dar feedback a otro equipo (apoyo cruzado),10,0,PENDIENTE DAVID,DAVID debe dar feedback
EXT-008,Extras/Creatividad,Ensayo de pitch cronometrado,10,0,PENDIENTE DAVID,DAVID debe ensayar pitch
EXT-009,Extras/Creatividad,Prototipo físico (si aplica),40,0,No aplica,App móvil no requiere prototipo físico
EXT-011,Extras/Creatividad,Mini comunidad (Discord/Telegram/Comunidad),20,0,PENDIENTE DAVID,DAVID debe crear comunidad
EXT-012,Extras/Creatividad,Sitio bilingüe (ES/EN),20,20,https://github.com/DabtcAvila/starkpay-hackathon-2024/blob/main/explicacion.md,Documentación en español e inglés
EXT-013,Extras/Creatividad,"Press‑kit (logo, screenshots, bio 100 palabras)",15,15,https://github.com/DabtcAvila/starkpay-hackathon-2024/blob/main/README.md,README con screenshots y descripción
BON-001,Bonus,Listos antes del deadline (todos los amarillos),50,PENDIENTE DAVID,PENDIENTE DAVID,DAVID debe completar items pendientes
BON-002,Bonus,Primer equipo en subir MVP,30,0,Unknown,Depende de timing vs otros equipos
BON-003,Bonus,Equipo más activo en validación de usuarios,30,0,PENDIENTE DAVID,DAVID debe hacer validación usuarios
BON-004,Bonus,Equipo que consiga más seguidores,20,PENDIENTE DAVID,PENDIENTE DAVID,DAVID debe contar seguidores
BON-005,Bonus,Mejor pitch votado internamente,50,0,PENDIENTE DAVID,DAVID debe participar en voting
BON-006,Bonus,Demo con más tracción (usuarios reales),50,0,No implementado,Demo funcional pero sin usuarios reales
BON-007,Bonus,Innovación más creativa (a votación),30,30,https://github.com/DabtcAvila/starkpay-hackathon-2024/blob/main/explicacion.md,Concepto Web2 UX hiding Web3 es innovador
BON-008,Bonus,Avance constante (mayor numero de regsitros),20,0,PENDIENTE DAVID,DAVID debe documentar avances semanales
BON-009,Bonus,Participar en todos los workshops,30,PENDIENTE DAVID,PENDIENTE DAVID,DAVID debe confirmar asistencias
BON-010,Bonus,Documentación clara de repo/proyecto,20,20,https://github.com/DabtcAvila/starkpay-hackathon-2024/blob/main/README.md,Documentación completa y clara
BON-011,Bonus,Recibir feedback de VC/mentor externo,30,0,PENDIENTE DAVID,DAVID debe conseguir feedback VC
BON-012,Bonus,Presentar en el Demo Day,100,PENDIENTE DAVID,PENDIENTE DAVID,DAVID debe confirmar participación
BON-013,Bonus,Sin llaves/secretos expuestos (security check),20,20,https://github.com/DabtcAvila/starkpay-hackathon-2024,Repo limpio sin secrets expuestos
TOTAL TÉCNICO,,MVP + Deliverables + Extras,XXXX,630,Repositorio público,App iOS premium nivel producción
